"","TVType","ProgramType","Month","DayPart","SpotName","Oldest","Old","Base","RR","CPM","comp"
"243","DN","Western","June, 2017","WE","HEAR A BTR DAY 120",387,763,838729,0.0000904392764857881,12.465019379845,0.00046141244669017
"244","DN","Western","June, 2017","Day","HEAR A BTR DAY 120",309,562,650661,0.0000744336569579288,15.4628478964401,0.000474901676910096
"245","DN","Western","July, 2017","Day","HABD REV 120 TEST",298,579,666474,0.0000335570469798658,16.0336241610738,0.00044712922034468
"246","DN","Western","July, 2017","WE","HABD REV 120 TEST",366,723,809622,0.0000546448087431694,11.2973360655738,0.000452062814498618
"247","DN","Western","July, 2017","Day","HABD REV 120 TEST",314,590,640903,0.00014968152866242,15.2166242038217,0.000489933734122012
"248","DN","Western","July, 2017","Day","HABD REV 120 TEST",379,600,707195,0.0000844327176781003,12.6069129287599,0.000535920078620465
"249","DN","Western","July, 2017","Day","HABD REV 120 TEST",339,641,726090,0.0000678466076696165,14.0944542772861,0.000466884270544974
"250","DN","Western","July, 2017","Day","HABD REV 120 TEST",362,639,727375,0.0000469613259668508,13.1989502762431,0.000497680013748067
"251","DN","Western","July, 2017","WE","HABD REV 120 TEST",367,747,871439,0.0000354223433242507,11.266553133515,0.000421142501081544
"252","DN","Western","July, 2017","Day","HABD REV 120 TEST",350,606,664287,0.0000514285714285714,13.6514857142857,0.000526880700661009
"253","DN","Western","July, 2017","Day","HABD REV 120 TEST",370,619,693127,0.0000918918918918919,12.9135675675676,0.000533812706762253
"254","DN","Western","August, 2017","Day","HABD REV 120 TEST",288,589,683871,0.0000555555555555556,16.5903472222222,0.000421132055606979
"255","DN","Western","August, 2017","Day","HABD REV 120 TEST",338,618,693232,0.0000798816568047337,14.1361538461538,0.000487571260414984
"256","DN","Western","August, 2017","Day","HABD REV 120 TEST",283,555,649703,0.000113074204946996,16.8834628975265,0.000435583643603308
"259","CBL","Western","December, 2016","Day","HEAR A BTR DAY 120",130,350,420672,0.0000923076923076923,24.7382692307692,0.00030902936254374
"260","CBL","Western","December, 2016","Day","HEAR A BTR DAY 120",118,317,391278,0.0000677966101694915,27.2540254237288,0.000301575861663574
"261","CBL","Western","December, 2016","Day","HEAR A BTR DAY 120",106,235,344393,0.000122641509433962,30.3393867924528,0.000307787905096793
"262","CBL","Western","December, 2016","Day","HEAR A BTR DAY 120",145,337,401410,0.000096551724137931,22.1791379310345,0.000361226675967216
"263","CBL","Western","December, 2016","Day","HEAR A BTR DAY 120",169,344,408071,0.000029585798816568,19.0294378698225,0.00041414361716466
"264","CBL","Western","December, 2016","Day","HEAR A BTR DAY 120",175,343,439175,0.0000685714285714286,18.377,0.000398474412250242
"265","CBL","Western","January, 2017","Day","HEAR A BTR DAY 120",148,296,355285,0.0000608108108108108,26.075472972973,0.000416566981437438
"266","CBL","Western","January, 2017","Day","HEAR A BTR DAY 120",83,240,291277,0.0000963855421686747,46.4960240963855,0.000284952124609907
"267","CBL","Western","January, 2017","Day","HEAR A BTR DAY 120",119,291,347212,0.000109243697478992,32.43,0.000342730089973849
"268","CBL","Western","January, 2017","Day","HEAR A BTR DAY 120",117,288,348416,0.000094017094017094,32.984358974359,0.000335805473916238
"269","CBL","Western","January, 2017","Day","HEAR A BTR DAY 120",105,255,295442,0.000104761904761905,36.754,0.00035539970620291
"270","CBL","Western","January, 2017","Day","HEAR A BTR DAY 120",112,263,320461,0.0000535714285714286,34.456875,0.000349496506595186
"271","CBL","Western","January, 2017","Day","HEAR A BTR DAY 120",134,321,386296,0.0000149253731343284,28.799776119403,0.000346884254561269
"272","CBL","Western","January, 2017","Day","HEAR A BTR DAY 120",162,362,439881,0.0000925925925925926,23.822037037037,0.000368281421566287
"273","CBL","Western","January, 2017","Day","HEAR A BTR DAY 120",139,259,316056,0.0000431654676258993,26.441726618705,0.000439795479282153
"274","CBL","Western","January, 2017","Day","HEAR A BTR DAY 120",144,258,327985,0.0000555555555555556,25.5236111111111,0.000439044468497035
"275","CBL","Western","February, 2017","Day","HEAR A BTR DAY 120",116,239,254591,0.000120689655172414,31.6844827586207,0.000455632759995444
"277","DN","Western","March, 2017","Day","HEAR A BTR DAY 120",87,176,191350,0.0000804597701149425,15.8422413793103,0.000454664227854717
"278","DN","Military","December, 2016","Day","HEAR A BTR DAY 120",70,156,176187,0.000114285714285714,13.1264285714286,0.000397305136020251
"279","DN","Military","December, 2016","Day","HEAR A BTR DAY 120",64,145,179732,0.000109375,14.35703125,0.000356085727638929
"280","CBL","Lifestyle","June, 2017","Day","HEAR A BTR DAY 120",18,69,86918,0.000111111111111111,38.2854166666667,0.000207091741641547
"281","CBL","Lifestyle","February, 2017","Day","HEAR A BTR DAY 120",17,39,62384,0.000235294117647059,37.835,0.000272505770710439
"283","DN","Comedy","May, 2017","Prime","HEAR A BTR DAY 120",187,392,448957,0.0000320855614973262,39.3090909090909,0.000416520958577325
"285","DN","Western","April, 2017","WE","HEAR A BTR DAY 120",54,125,134030,0.000111111111111111,22.120462962963,0.000402894874281877
"286","DN","Western","April, 2017","WE","HEAR A BTR DAY 120",95,196,222013,0.0000210526315789474,12.5737368421053,0.000427902870552625
"287","CBL","Game Show","January, 2017","Day","HEAR A BTR DAY 120",167,233,286170,0.0000359281437125749,15.1307634730539,0.000583569207114652
"288","CBL","Game Show","January, 2017","Day","HEAR A BTR DAY 120",221,312,374106,0.0000316742081447964,11.4336538461538,0.00059074166145424
"289","CBL","Game Show","January, 2017","Day","HEAR A BTR DAY 120",212,335,393702,0.0000518867924528302,11.9190448113208,0.000538478341486708
"290","CBL","Lifestyle","January, 2017","Day","HEAR A BTR DAY 120",28,52,62175,0.000107142857142857,29.5344642857143,0.000450341777241657
"291","CBL","Lifestyle","April, 2017","Day","HEAR A BTR DAY 120",43,88,108814,0.0000465116279069767,16.0264534883721,0.000395169739187972
"292","CBL","Lifestyle","June, 2017","Day","HEAR A BTR DAY 120",26,65,90768,0.0000384615384615385,26.5052884615385,0.000286444561960162
"293","CBL","Lifestyle","June, 2017","Day","HEAR A BTR DAY 120",25,81,112203,0.00036,27.5655,0.000222810441788544
"294","CBL","Lifestyle","June, 2017","Day","HEAR A BTR DAY 120",13,50,65318,0.000230769230769231,53.0105769230769,0.000199026302091307
"295","CBL","Lifestyle","July, 2017","Day","HABD REV 120 TEST",26,84,100884,0.000115384615384615,26.5052884615385,0.000257721739819991
"296","CBL","Lifestyle","August, 2017","Day","HABD REV 120 TEST",32,74,79150,0.00003125,21.535546875,0.000404295641187618
"297","CBL","Lifestyle","August, 2017","Day","HABD REV 120 TEST",59,115,130576,0.0000338983050847458,11.6802966101695,0.000451844136747948
"298","DN","Crime Drama","December, 2016","Day","HEAR A BTR DAY 120",183,417,485425,0.0000710382513661202,17.5736338797814,0.000376989236236288
"299","DN","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",216,381,473717,0.000037037037037037,17.8665277777778,0.000455968436851538
"300","DN","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",210,384,476710,0.0000809523809523809,18.377,0.000440519393341864
"301","DN","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",226,393,455741,0.000106194690265487,17.0759734513274,0.000495895695142636
"302","DN","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",164,282,347564,0.0000487804878048781,23.5315243902439,0.000471855543151765
"303","DN","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",190,355,453510,0.0000842105263157895,20.3114210526316,0.000418954378073251
"304","DN","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",224,407,456404,0.0000580357142857143,17.2284375,0.000490793244581555
"305","DN","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",192,376,463702,0.0000989583333333333,20.09984375,0.000414059029290363
"306","DN","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",270,450,529478,0.0000777777777777778,14.2932222222222,0.000509936201315258
"307","DN","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",170,345,418017,0.0000764705882352941,22.701,0.000406682024893724
"308","DN","Crime Drama","January, 2017","Day","HEAR A BTR DAY 120",185,375,472363,0.0000918918918918919,20.8603783783784,0.000391647948717406
"309","DN","Crime Drama","February, 2017","Day","HEAR A BTR DAY 120",224,382,458175,0.00003125,17.2284375,0.000488896164129427
"310","DN","Crime Drama","February, 2017","Day","HEAR A BTR DAY 120",225,383,464241,0.0000222222222222222,17.1518666666667,0.000484662061300057
"311","DN","Crime Drama","February, 2017","Day","HEAR A BTR DAY 120",202,387,463881,0.0000792079207920792,19.104801980198,0.000435456507164553
